# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 06 Jan 2025 03:02:25 +0100
#
# IP	number of (black)lists
#
167.172.95.189	9
2.57.122.189	8
2.57.122.190	8
2.57.122.192	8
71.6.199.23	8
83.222.191.62	8
102.211.152.45	8
152.53.119.28	8
161.132.48.181	8
167.94.145.97	8
218.92.0.111	8
218.92.0.112	8
218.92.0.223	8
218.92.0.226	8
218.92.0.227	8
218.92.0.231	8
80.82.77.139	7
2.57.122.186	7
2.57.122.194	7
5.101.0.66	7
36.110.228.254	7
45.118.162.83	7
45.148.10.240	7
80.82.77.202	7
80.94.95.239	7
92.255.57.132	7
92.255.85.188	7
162.142.125.118	7
162.142.125.202	7
162.142.125.210	7
162.142.125.214	7
165.227.157.249	7
167.94.145.105	7
167.94.145.106	7
167.94.145.111	7
167.94.146.48	7
167.94.146.54	7
167.94.146.60	7
178.128.161.183	7
185.165.191.26	7
185.165.191.27	7
194.0.234.37	7
194.0.234.38	7
218.92.0.114	7
218.92.0.198	7
218.92.0.216	7
218.92.0.217	7
218.92.0.218	7
218.92.0.219	7
218.92.0.220	7
218.92.0.221	7
218.92.0.222	7
218.92.0.225	7
218.92.0.228	7
218.92.0.229	7
218.92.0.230	7
218.92.0.232	7
218.92.0.233	7
218.92.0.235	7
218.92.0.236	7
218.92.0.237	7
142.93.231.154	7
182.253.191.50	7
220.80.223.144	7
37.58.18.237	7
92.255.85.107	7
92.255.85.253	7
71.6.135.131	6
80.82.77.33	6
82.200.65.218	6
93.174.95.106	6
120.194.7.10	6
2.57.122.32	6
2.57.122.193	6
34.170.187.163	6
46.101.122.229	6
51.159.103.10	6
71.6.134.231	6
72.190.27.6	6
74.73.241.225	6
80.82.70.133	6
83.118.88.66	6
87.197.161.130	6
93.126.53.41	6
103.172.236.15	6
122.114.12.80	6
134.209.168.219	6
148.113.208.45	6
162.142.125.36	6
162.142.125.45	6
162.142.125.46	6
162.142.125.123	6
162.142.125.124	6
162.142.125.127	6
162.142.125.193	6
162.142.125.196	6
162.142.125.205	6
162.142.125.207	6
162.142.125.208	6
162.142.125.216	6
162.142.125.218	6
167.94.138.35	6
167.94.138.39	6
167.94.138.46	6
167.94.138.188	6
167.94.138.196	6
167.94.145.96	6
167.94.145.98	6
167.94.145.100	6
167.94.145.104	6
167.94.145.108	6
167.94.145.109	6
167.94.145.110	6
167.94.146.50	6
167.94.146.51	6
167.94.146.52	6
167.94.146.53	6
167.94.146.57	6
167.94.146.58	6
179.43.169.162	6
182.215.66.232	6
185.142.236.34	6
185.236.23.4	6
194.0.234.107	6
199.45.154.151	6
103.100.210.19	6
103.170.86.94	6
103.188.177.46	6
103.191.178.123	6
103.246.42.72	6
103.75.183.83	6
104.236.66.17	6
109.120.156.140	6
110.175.220.250	6
119.202.128.28	6
128.199.20.225	6
137.184.202.107	6
139.59.173.98	6
141.94.23.12	6
14.63.196.175	6
15.235.184.198	6
162.142.125.217	6
162.142.125.219	6
162.142.125.44	6
162.19.48.19	6
176.109.80.72	6
177.229.197.38	6
181.94.237.129	6
185.213.165.72	6
186.117.149.128	6
188.166.223.5	6
189.7.17.61	6
192.42.116.218	6
195.19.97.203	6
199.45.154.127	6
200.73.135.75	6
203.150.107.244	6
203.81.213.46	6
206.168.34.86	6
206.189.45.206	6
207.90.244.11	6
207.90.244.18	6
207.90.244.2	6
207.90.244.3	6
207.90.244.4	6
207.90.244.5	6
218.150.246.42	6
222.172.32.246	6
27.111.32.174	6
27.71.16.31	6
45.120.216.232	6
45.192.176.21	6
47.180.114.229	6
50.84.211.204	6
51.210.243.91	6
51.83.250.33	6
57.129.64.10	6
61.153.208.38	6
61.220.44.44	6
62.99.74.174	6
68.233.116.124	6
70.54.182.130	6
82.207.9.150	6
89.185.85.104	6
103.172.236.241	6
103.226.248.206	6
111.67.195.249	6
130.250.134.35	6
137.184.189.35	6
137.184.190.239	6
165.227.147.75	6
178.160.211.111	6
178.160.211.140	6
185.147.124.182	6
185.147.124.53	6
185.147.124.54	6
185.213.174.118	6
195.178.110.76	6
198.24.79.245	6
203.251.180.225	6
211.223.41.90	6
220.95.14.102	6
50.99.36.130	6
58.124.223.20	6
60.172.52.101	6
66.240.192.138	5
71.6.165.200	5
89.97.218.142	5
92.154.95.236	5
178.20.55.16	5
185.220.101.12	5
190.144.14.170	5
211.253.10.96	5
2.57.122.196	5
4.151.36.251	5
4.151.37.255	5
4.151.38.184	5
4.151.228.127	5
4.151.230.7	5
4.156.20.220	5
4.156.21.164	5
4.255.101.233	5
5.135.238.158	5
5.196.113.4	5
5.196.113.10	5
8.221.136.6	5
8.221.139.48	5
13.64.109.8	5
35.216.231.232	5
36.156.22.5	5
45.79.181.94	5
45.79.181.223	5
45.118.162.90	5
45.119.212.196	5
45.156.128.64	5
45.156.128.79	5
45.156.129.65	5
51.8.223.99	5
51.178.236.243	5
61.75.30.52	5
61.138.165.126	5
64.62.156.10	5
64.62.156.17	5
64.62.156.108	5
64.62.197.74	5
65.49.1.27	5
65.49.1.28	5
65.49.1.40	5
65.49.1.47	5
65.49.1.80	5
70.119.153.165	5
71.6.134.230	5
71.6.134.233	5
71.6.134.235	5
71.6.146.185	5
76.182.73.129	5
79.137.7.65	5
79.137.7.68	5
83.222.191.58	5
83.222.191.74	5
83.222.191.90	5
84.38.185.37	5
89.248.167.131	5
92.118.39.72	5
92.205.108.83	5
92.255.85.189	5
104.248.21.0	5
104.248.22.19	5
111.67.195.172	5
112.221.114.9	5
115.75.10.105	5
116.98.170.71	5
116.110.123.11	5
118.123.105.104	5
121.229.42.32	5
130.211.219.52	5
134.122.0.63	5
134.209.123.225	5
135.148.25.114	5
135.148.25.118	5
137.74.239.154	5
137.74.239.159	5
141.148.198.218	5
143.110.227.247	5
147.185.132.46	5
147.185.132.70	5
147.185.132.79	5
147.185.132.84	5
147.185.132.87	5
147.185.132.93	5
147.185.132.96	5
147.185.132.97	5
147.185.132.105	5
147.185.132.109	5
